Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize
student_analysis(numbers),5,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,5.390315326130454,16.53206135341196,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),5,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,0.8785906362545023,1.0722435714894436,100.00000000000011,100.00000000000013,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),5,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,0.9224623611682442,1.096380277429909,79.19048520677244,83.1097501845002,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2954.0,23832.0,4462.0,NaN,NaN,?,3.0
student_analysis(numbers),5,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.5589087837837823,2.4561586028510827,99.99999999999966,99.99999999999984,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),5,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,2.671670977011494,6.316544960988314,160.48774734715127,340.53772799933114,-0.2940557178247007,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2954.0,23981.0,4313.0,NaN,NaN,?,3.0
student_analysis(numbers),5,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.425290540540542,2.397238319911967,100.00000000000014,100.00000000000003,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),5,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.3207533783783783,1.606191114719887,100.0,100.0,6.045035413201076E-8,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),5,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,0.9454155405405412,1.092852951746808,99.99999999999991,99.9999999999999,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),5,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,4.750873310810812,15.988597517405767,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),6,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,1.4752517006802726,2.416970937722387,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),6,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,1.0040648259303726,1.1796333415894371,99.99999999999989,99.99999999999989,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
